cvegeo,ids,area_km2,densidad_pob,ids_norm,bajo_desarrollo_norm,grado_ids,grado_ids_num,grado_ids_norm,poblacion_ids,pob_nbi,prop_nbi,prop_nbi_norm
9.003E+11,0.8101,0.395171552,2.049995744,0.761657358,0.238342642,Medio,3,0.5,5131,3464,0.675112064,0.652457043
9.003E+11,0.9006,0.335042176,2.688019791,0.879205092,0.120794908,Alto,4,0.75,5393,2342,0.434266642,0.394817036
9.003E+11,0.8768,0.512141078,1.712028264,0.848291986,0.151708014,Alto,4,0.75,6427,3224,0.501633733,0.466881755
9.003E+11,0.9618,0.270848615,3.55106117,0.958695935,0.041304065,Muy alto,5,1,1423,360,0.252986648,0.200896062
9.003E+11,0.9654,0.126326122,7.642124869,0.963371866,0.036628134,Muy alto,5,1,987,220,0.22289767,0.168708925
9.003E+11,0.9702,0.211044353,4.59713792,0.969606442,0.030393558,Muy alto,5,1,2378,540,0.227081581,0.173184588
9.003E+11,0.953,0.288059184,3.308347913,0.947265879,0.052734121,Muy alto,5,1,3383,960,0.2837718,0.233827918
9.003E+11,0.9056,0.183070215,4.946735867,0.885699441,0.114300559,Alto,4,0.75,1416,579,0.408898305,0.367679719
9.003E+11,0.8531,0.170160823,5.01349244,0.817508767,0.182491233,Medio,3,0.5,2588,1421,0.549072643,0.517628666
9.003E+11,0.7355,0.354172234,2.076673239,0.664761657,0.335238343,Bajo,2,0.25,7615,5850,0.768220617,0.752058223
090030001054A,0.9476,0.267566108,3.541554674,0.940251981,0.059748019,Muy alto,5,1,727,240,0.330123796,0.283412122
9.003E+11,0.8549,0.249290826,3.429327963,0.819846733,0.180153267,Medio,3,0.5,4464,2497,0.559363799,0.528637444
9.003E+11,0.8089,0.650297269,1.24389266,0.760098714,0.239901286,Medio,3,0.5,12668,8308,0.655825703,0.631825809
9.003E+11,0.9239,0.211320015,4.372042092,0.909468762,0.090531238,Alto,4,0.75,1737,669,0.385146805,0.342271984
9.003E+11,0.6435,0.431492213,1.491336298,0.545265619,0.454734381,Muy bajo,1,0,3609,3170,0.878359656,0.869877456
090030001061A,0.7671,0.342810762,2.237677709,0.705805949,0.294194051,Bajo,2,0.25,10377,8216,0.791750988,0.777229409
9.003E+11,0.7189,0.270582385,2.656861796,0.643200416,0.356799584,Bajo,2,0.25,9690,8244,0.850773994,0.840368196
9.003E+11,0.7256,0.275637026,2.6324475,0.651902845,0.348097155,Bajo,2,0.25,12433,10708,0.861256334,0.851581488
9.003E+11,0.75,0.440965656,1.700812727,0.683595272,0.316404728,Bajo,2,0.25,8487,6949,0.818781666,0.806144985
9.003E+11,0.768,0.521097769,1.473811723,0.706974932,0.293025068,Bajo,2,0.25,10334,8197,0.79320689,0.778786834
9.003E+11,0.7703,0.388542437,1.982537624,0.709962333,0.290037667,Bajo,2,0.25,5425,4185,0.771428571,0.755489874
9.003E+11,0.8463,0.562095289,1.505616605,0.808676451,0.191323549,Medio,3,0.5,7991,4543,0.568514579,0.538426323
9.003E+11,0.8679,0.354680669,2.446989856,0.836732043,0.163267957,Alto,4,0.75,4474,2342,0.523468932,0.490239562
9.003E+11,0.962,0.31801205,3.025042607,0.958955709,0.041044291,Muy alto,5,1,2236,554,0.247763864,0.195309084
9.003E+11,0.8895,0.334849959,2.656413645,0.864787635,0.135212365,Alto,4,0.75,3039,1353,0.445212241,0.406525891
9.003E+11,0.9323,0.497774033,1.872938198,0.92037927,0.07962073,Alto,4,0.75,4538,1791,0.394667254,0.352456312
9.003E+11,0.9538,0.385284101,2.475575807,0.948304975,0.051695025,Muy alto,5,1,3737,1072,0.286861119,0.23713266
9.003E+11,0.9271,7.215676333,0.128484144,0.913625146,0.086374854,Alto,4,0.75,287,98,0.341463415,0.295542473
9.003E+11,0.7253,0.304740674,2.380056425,0.651513184,0.348486816,Bajo,2,0.25,11432,9651,0.844209237,0.833345667
090030001079A,0.7043,0.22585094,3.118428466,0.624236914,0.375763086,Muy bajo,1,0,8949,7634,0.853056207,0.842809552
9.003E+11,0.7096,0.321959629,2.204003035,0.631120925,0.368879075,Bajo,2,0.25,12942,11060,0.854581981,0.844441721
9.003E+11,0.7626,0.533571214,1.429237523,0.699961034,0.300038966,Bajo,2,0.25,10017,7947,0.793351303,0.778941317
9.003E+11,0.7725,0.21387413,3.611937545,0.712819847,0.287180153,Bajo,2,0.25,5186,4103,0.791168531,0.776606336
9.003E+11,0.7581,0.255597659,2.96598961,0.694116119,0.305883881,Bajo,2,0.25,6308,5152,0.816740647,0.803961642
9.003E+11,0.7842,0.281257417,2.78819314,0.728016626,0.271983374,Medio,3,0.5,6540,4976,0.760856269,0.744180346
9.003E+11,0.8815,0.291938248,3.01947417,0.854396675,0.145603325,Alto,4,0.75,2641,1348,0.510412722,0.47627292
090030001086A,0.935,0.357422902,2.615948771,0.923886219,0.076113781,Alto,4,0.75,2561,845,0.329949239,0.283225392
9.003E+11,0.9664,0.2509099,3.851581782,0.964670736,0.035329264,Muy alto,5,1,2597,571,0.21986908,0.165469146
9.003E+11,0.9763,0.26983232,3.618172945,0.977529549,0.022470451,Muy alto,5,1,1681,286,0.170136823,0.11226897
