cvegeo,ids,ids_norm,bajo_desarrollo_norm,grado_ids,grado_ids_num,grado_ids_norm,poblacion_ids,pob_nbi,prop_nbi,prop_nbi_norm
0900300010639,0.7256,0.651902844525263,0.34809715547473696,Bajo,2.0,0.25,12433.0,10708.0,0.8612563339499718,0.8515814882713875
0900300010643,0.75,0.6835952721132614,0.31640472788673857,Bajo,2.0,0.25,8487.0,6949.0,0.8187816660775303,0.8061449853212508
0900300010658,0.768,0.7069749318093259,0.2930250681906741,Bajo,2.0,0.25,10334.0,8197.0,0.7932068898780724,0.77878683392321
0900300010662,0.7703,0.7099623327704896,0.2900376672295104,Bajo,2.0,0.25,5425.0,4185.0,0.7714285714285715,0.7554898741105638
0900300010677,0.8463,0.8086764514872061,0.19132354851279387,Medio,3.0,0.5,7991.0,4543.0,0.5685145789012639,0.5384263234836508
0900300010681,0.8679,0.8367320431224834,0.1632679568775166,Alto,4.0,0.75,4474.0,2342.0,0.5234689316048279,0.49023956208455155
0900300010696,0.962,0.9589557085335757,0.0410442914664243,Muy alto,5.0,1.0,2236.0,554.0,0.24776386404293382,0.19530908368117675
0900300010709,0.8895,0.8647876347577607,0.13521236524223934,Alto,4.0,0.75,3039.0,1353.0,0.4452122408687068,0.4065258913813906
0900300010713,0.9323,0.9203792700350695,0.07962072996493053,Alto,4.0,0.75,4538.0,1791.0,0.39466725429704713,0.3524563118763815
0900300010728,0.9538,0.9483049746720352,0.05169502532796477,Muy alto,5.0,1.0,3737.0,1072.0,0.28686111854428686,0.2371326601439268
0900300010770,0.9271,0.913625146122873,0.08637485387712696,Alto,4.0,0.75,287.0,98.0,0.34146341463414637,0.295542472666106
0900300010785,0.7253,0.6515131835303285,0.3484868164696715,Bajo,2.0,0.25,11432.0,9651.0,0.8442092372288313,0.8333456667980449
090030001079A,0.7043,0.6242369138849201,0.3757630861150799,Muy bajo,1.0,0.0,8949.0,7634.0,0.8530562073974746,0.8428095521278731
0900300010802,0.7096,0.6311209247954279,0.3688790752045721,Bajo,2.0,0.25,12942.0,11060.0,0.8545819811466543,0.8444417208281452
0900300010817,0.7626,0.6999610339005065,0.30003896609949354,Bajo,2.0,0.25,10017.0,7947.0,0.793351302785265,0.778941317002475
0900300010821,0.7725,0.7128198467333419,0.28718015326665813,Bajo,2.0,0.25,5186.0,4103.0,0.7911685306594678,0.7766063362456835
0900300010836,0.7581,0.6941161189764904,0.3058838810235096,Bajo,2.0,0.25,6308.0,5152.0,0.8167406467977172,0.8039616420916577
0900300010840,0.7842,0.7280166255357838,0.27198337446421617,Medio,3.0,0.5,6540.0,4976.0,0.7608562691131499,0.7441803461164422
0900300010855,0.8815,0.8543966748928431,0.1456033251071569,Alto,4.0,0.75,2641.0,1348.0,0.510412722453616,0.47627291995804444
090030001086A,0.935,0.9238862189894792,0.0761137810105208,Alto,4.0,0.75,2561.0,845.0,0.3299492385786802,0.2832253923799522
0900300010889,0.9664,0.9646707364592805,0.035329263540719524,Muy alto,5.0,1.0,2597.0,571.0,0.21986907970735464,0.1654691458018905
0900300010893,0.9763,0.9775295492921158,0.022470450707884226,Muy alto,5.0,1.0,1681.0,286.0,0.1701368233194527,0.11226896961988965
0900300010906,0.9423,0.9333679698662164,0.0666320301337836,Muy alto,5.0,1.0,3263.0,1142.0,0.3499846766779038,0.304657937656976
090030001093A,0.9812,0.9838940122093778,0.016105987790622223,Muy alto,5.0,1.0,1179.0,166.0,0.14079728583545378,0.0808835333534816
0900300010959,0.7225,0.6478763475776075,0.3521236524223925,Bajo,2.0,0.25,4207.0,3602.0,0.8561920608509627,0.8461640742896122
0900300010963,0.7731,0.7135991687232108,0.28640083127678917,Bajo,2.0,0.25,6376.0,5006.0,0.7851317440401505,0.7701485936245595
0900300010978,0.7408,0.6716456682686063,0.3283543317313937,Bajo,2.0,0.25,7995.0,6589.0,0.8241400875547217,0.8118770591773115
0900300010982,0.7873,0.7320431224834394,0.2679568775165606,Medio,3.0,0.5,6486.0,4843.0,0.7466851680542708,0.7290210686618865
0900300010997,0.7762,0.7176256656708663,0.2823743343291337,Bajo,2.0,0.25,9301.0,7077.0,0.7608859262444898,0.7442120712929562
0900300011001,0.7471,0.6798285491622288,0.3201714508377712,Bajo,2.0,0.25,6465.0,5149.0,0.7964423820572313,0.7822479427983868
0900300011016,0.7318,0.659955838420574,0.34004416157942596,Bajo,2.0,0.25,6545.0,5493.0,0.839266615737204,0.8280583874093002
0900300011020,0.9076,0.8882971814521365,0.11170281854786346,Alto,4.0,0.75,4351.0,1898.0,0.4362215582624684,0.39690827228690106
0900300011069,0.9693,0.968437459410313,0.031562540589686994,Muy alto,5.0,1.0,1600.0,327.0,0.204375,0.14889463601532568
0900300011073,0.951,0.9446681387193141,0.0553318612806859,Muy alto,5.0,1.0,1588.0,465.0,0.29282115869017633,0.24350830462182851
0900300011092,0.9692,0.9683075724120015,0.031692427587998506,Muy alto,5.0,1.0,5177.0,1117.0,0.21576202433841993,0.16107569806623312
0900300011105,0.9851,0.9889596051435251,0.0110403948564749,Muy alto,5.0,1.0,2603.0,309.0,0.11870918171340761,0.05725518595549198
0900300011124,0.7902,0.735809845434472,0.26419015456552797,Medio,3.0,0.5,5562.0,3711.0,0.6672060409924487,0.6439997189467114
